"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"310M300US10140","Aberdeen, WA Micro Area","72697","*****",
"310M300US10180","Abilene, TX Metro Area","169747","2733",
"310M300US10300","Adrian, MI Micro Area","98623","*****",
"310M300US10380","Aguadilla-Isabela, PR Metro Area","306000","3411",
"310M300US10420","Akron, OH Metro Area","703505","*****",
"310M300US10460","Alamogordo, NM Micro Area","65817","*****",
"310M300US10500","Albany, GA Metro Area","151754","1560",
"310M300US10540","Albany, OR Metro Area","125047","*****",
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","886188","*****",
"310M300US10700","Albertville, AL Micro Area","95548","*****",
"310M300US10740","Albuquerque, NM Metro Area","913113","2419",
"310M300US10780","Alexandria, LA Metro Area","153984","*****",
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","840550","*****",
"310M300US11020","Altoona, PA Metro Area","123457","*****",
"310M300US11100","Amarillo, TX Metro Area","266575","2127",
"310M300US11180","Ames, IA Metro Area","97502","*****",
"310M300US11260","Anchorage, AK Metro Area","400888","*****",
"310M300US11460","Ann Arbor, MI Metro Area","367627","*****",
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","114728","*****",
"310M300US11540","Appleton, WI Metro Area","236126","*****",
"310M300US11640","Arecibo, PR Metro Area","181643","*****",
"310M300US11700","Asheville, NC Metro Area","456145","*****",
"310M300US11780","Ashtabula, OH Micro Area","97807","*****",
"310M300US11900","Athens, OH Micro Area","66597","*****",
"310M300US11980","Athens, TX Micro Area","81064","*****",
"310M300US12020","Athens-Clarke County, GA Metro Area","206937","1995",
"310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","5882450","2613",
"310M300US12100","Atlantic City-Hammonton, NJ Metro Area","269918","*****",
"310M300US12180","Auburn, NY Micro Area","77603","*****",
"310M300US12220","Auburn-Opelika, AL Metro Area","161604","*****",
"310M300US12260","Augusta-Richmond County, GA-SC Metro Area","600600","1969",
"310M300US12300","Augusta-Waterville, ME Micro Area","121821","*****",
"310M300US12420","Austin-Round Rock, TX Metro Area","2115827","*****",
"310M300US12540","Bakersfield, CA Metro Area","893119","*****",
"310M300US12580","Baltimore-Columbia-Towson, MD Metro Area","2808175","*****",
"310M300US12620","Bangor, ME Metro Area","151957","*****",
"310M300US12700","Barnstable Town, MA Metro Area","213444","*****",
"310M300US12940","Baton Rouge, LA Metro Area","834159","*****",
"310M300US12980","Battle Creek, MI Metro Area","134128","*****",
"310M300US13020","Bay City, MI Metro Area","104239","*****",
"310M300US13140","Beaumont-Port Arthur, TX Metro Area","411339","2426",
"310M300US13180","Beaver Dam, WI Micro Area","87786","*****",
"310M300US13220","Beckley, WV Metro Area","118543","*****",
"310M300US13380","Bellingham, WA Metro Area","221404","*****",
"310M300US13460","Bend-Redmond, OR Metro Area","186875","*****",
"310M300US13740","Billings, MT Metro Area","172081","1016",
"310M300US13780","Binghamton, NY Metro Area","242217","*****",
"310M300US13820","Birmingham-Hoover, AL Metro Area","1149807","*****",
"310M300US13900","Bismarck, ND Metro Area","132767","1073",
"310M300US13980","Blacksburg-Christiansburg-Radford, VA Metro Area","181986","3057",
"310M300US14010","Bloomington, IL Metro Area","186356","1574",
"310M300US14020","Bloomington, IN Metro Area","167825","*****",
"310M300US14100","Bloomsburg-Berwick, PA Metro Area","84204","*****",
"310M300US14140","Bluefield, WV-VA Micro Area","100848","*****",
"310M300US14260","Boise City, ID Metro Area","710323","3212",
"310M300US14460","Boston-Cambridge-Newton, MA-NH Metro Area","4836531","*****",
"310M300US14500","Boulder, CO Metro Area","322514","*****",
"310M300US14540","Bowling Green, KY Metro Area","178474","2667",
"310M300US14580","Bozeman, MT Micro Area","107810","*****",
"310M300US14660","Brainerd, MN Micro Area","93779","*****",
"310M300US14700","Branson, MO Micro Area","87054","*****",
"310M300US14740","Bremerton-Silverdale, WA Metro Area","266414","*****",
"310M300US14860","Bridgeport-Stamford-Norwalk, CT Metro Area","949921","*****",
"310M300US15180","Brownsville-Harlingen, TX Metro Area","423725","*****",
"310M300US15260","Brunswick, GA Metro Area","114473","4336",
"310M300US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","1136856","*****",
"310M300US15500","Burlington, NC Metro Area","162391","*****",
"310M300US15540","Burlington-South Burlington, VT Metro Area","218341","812",
"310M300US15680","California-Lexington Park, MD Metro Area","112667","*****",
"310M300US15940","Canton-Massillon, OH Metro Area","399927","*****",
"310M300US15980","Cape Coral-Fort Myers, FL Metro Area","739224","*****",
"310M300US16020","Cape Girardeau, MO-IL Metro Area","98239","2773",
"310M300US16060","Carbondale-Marion, IL Metro Area","125612","*****",
"310M300US16180","Carson City, NV Metro Area","54745","*****",
"310M300US16220","Casper, WY Metro Area","79547","*****",
"310M300US16300","Cedar Rapids, IA Metro Area","270293","*****",
"310M300US16500","Centralia, WA Micro Area","78200","*****",
"310M300US16540","Chambersburg-Waynesboro, PA Metro Area","154234","*****",
"310M300US16580","Champaign-Urbana, IL Metro Area","241000","1574",
"310M300US16620","Charleston, WV Metro Area","215089","2037",
"310M300US16700","Charleston-North Charleston, SC Metro Area","775831","*****",
"310M300US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","2525305","*****",
"310M300US16820","Charlottesville, VA Metro Area","232182","2905",
"310M300US16860","Chattanooga, TN-GA Metro Area","554876","2592",
"310M300US16940","Cheyenne, WY Metro Area","98327","*****",
"310M300US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9533895","1695",
"310M300US17020","Chico, CA Metro Area","229294","*****",
"310M300US17060","Chillicothe, OH Micro Area","77313","*****",
"310M300US17140","Cincinnati, OH-KY-IN Metro Area","2180746","3625",
"310M300US17200","Claremont-Lebanon, NH-VT Micro Area","216537","*****",
"310M300US17220","Clarksburg, WV Micro Area","90929","2442",
"310M300US17300","Clarksville, TN-KY Metro Area","285602","2059",
"310M300US17340","Clearlake, CA Micro Area","64246","*****",
"310M300US17420","Cleveland, TN Metro Area","123935","1937",
"310M300US17460","Cleveland-Elyria, OH Metro Area","2058844","*****",
"310M300US17660","Coeur d'Alene, ID Metro Area","157637","*****",
"310M300US17780","College Station-Bryan, TX Metro Area","258860","3707",
"310M300US17820","Colorado Springs, CO Metro Area","723878","*****",
"310M300US17860","Columbia, MO Metro Area","178271","*****",
"310M300US17900","Columbia, SC Metro Area","825004","2175",
"310M300US17980","Columbus, GA-AL Metro Area","305911","3164",
"310M300US18020","Columbus, IN Metro Area","82040","*****",
"310M300US18140","Columbus, OH Metro Area","2078725","*****",
"310M300US18180","Concord, NH Micro Area","149216","*****",
"310M300US18260","Cookeville, TN Micro Area","111571","1543",
"310M300US18300","Coos Bay, OR Micro Area","63888","*****",
"310M300US18500","Corning, NY Micro Area","96281","*****",
"310M300US18580","Corpus Christi, TX Metro Area","449830","2828",
"310M300US18700","Corvallis, OR Metro Area","90951","*****",
"310M300US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","271346","*****",
"310M300US18980","Cullman, AL Micro Area","82755","*****",
"310M300US19060","Cumberland, MD-WV Metro Area","98837","*****",
"310M300US19100","Dallas-Fort Worth-Arlington, TX Metro Area","7400479","2657",
"310M300US19140","Dalton, GA Metro Area","144440","*****",
"310M300US19180","Danville, IL Metro Area","77909","*****",
"310M300US19260","Danville, VA Micro Area","102388","*****",
"310M300US19300","Daphne-Fairhope-Foley, AL Metro Area","212628","*****",
"310M300US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","382298","1025",
